Source_id,RA,E_RA,E_RA_tot,DEC,E_DEC,E_DEC_tot,Peak_flux,E_Peak_flux,E_Peak_flux_tot,Total_flux,E_Total_flux,E_Total_flux_tot,Resolved,Isl_rms,S_Code,Mosaic_ID
ILTJ132737.2+550406.2,201.90498985721,0.0606033151108047,1.70107988107626,55.0683793891919,0.0601282433593968,1.70106302224506,5420.69022511466,29.5143437535701,1084.53971672473,5886.39161597022,49.7691347879811,1178.32984220893,U,28.9603620767593,S,P200+55
ILTJ134934.6+534117.9,207.394183958033,0.135173295275652,1.70536559709514,53.6882946372177,0.133231861189763,1.70521281042458,2266.8201485907,26.5545162229404,454.141041719536,2634.50717538245,43.8069831691199,528.71937174653,U,25.6877802312374,S,P206+52
ILTJ134136.6+534430.1,205.402614966095,0.898832878993981,1.92299260122357,53.7416890101574,0.661462138450595,1.82415244993494,1646.43668987945,96.5090504555658,343.138671343063,2515.73787224685,147.067633466462,524.200696763855,U,90.2776420116425,S,P205+55
ILTJ133409.4+550149.0,203.539305893965,0.162421330115238,1.70774139976649,55.030277354275,0.17996054098419,1.70949869737047,1817.12569667914,25.7342087664212,364.335122383363,2334.76569933978,41.1772995927026,468.765191577072,U,24.4850590825081,S,P205+55
ILTJ135146.8+551818.7,207.944945833696,0.129090586798219,1.70489424293705,55.305190192181,0.120331299585322,1.70425339127135,1728.48911441239,18.9048428466517,346.214352430315,1989.84974283422,31.2837645562364,399.197637627161,U,18.3236729353666,S,P209+55
ILTJ133414.5+550053.4,203.560250156044,0.146150850750194,1.70627080827605,55.0148425013245,0.137234132054444,1.70553018355019,1367.92357106199,16.087050930113,274.057273317655,1738.78239863602,25.8303052464818,348.714458922173,U,15.3364473953843,S,P205+55
ILTJ134443.6+550300.5,206.181854776503,0.0818400198020951,1.70196879784596,55.0501409186264,0.0800318570391612,1.70188280975546,1550.08481900977,11.2931863301312,310.222587672899,1693.69167000637,19.0022480033983,339.270901126432,U,11.0640861093998,S,P205+55
ILTJ134130.1+534508.5,205.375500354452,0.484288439806833,1.76763550907152,53.7523479321646,0.450764771305985,1.75874639418267,1135.61632842673,41.7929943830841,230.936424574126,1565.51329745021,65.587563753771,319.89842747174,U,39.4877977669239,S,P205+55
ILTJ134255.2+541432.9,205.730022333216,0.0737141635635078,1.7015974194591,54.2424768140075,0.107154804047335,1.70337375582414,1125.16788345414,8.15637373173239,225.181342634594,1500.02933686288,12.9548004248501,300.285443057134,U,7.76655226945877,S,P205+55
ILTJ133100.4+534403.8,202.751806585611,0.112235286073394,1.70370090081563,53.7343745735629,0.096081595373412,1.70271303306503,1160.8027734487,10.0438180467651,232.377712861634,1479.70326814311,16.1136957550147,296.379016904066,U,9.57157835364342,S,P41
